"name","score","genre","thumbnail","userscore","summary","platform","publisher","developer","rating","rlsdate","url"
"Call of Duty: Modern Warfare 2","86","Action","http://static.metacritic.com/images/products/games/8/542bd97847544c3b360a31f7695806a7-98.jpg","4.1","Modern Warfare 2 continues the gripping and heart-racing action as players face off against a new threat dedicated to bringing the world to the brink of collapse. An entirely new gameplay mode which supports 2-player co-operative play online that is unique from the single player story campaign. Special Ops pits players into a gauntlet of time-trial and objective-based missions. Rank-up as players unlock new Special Ops missions, each more difficult. Missions include highlights from the single player campaign, fan favorites from Call of Duty 4: Modern Warfare and all new, exclusive missions. Setting a new bar for online multiplayer, Modern Warfare 2 multiplayer delivers new capabilities, customization, gamestates and modes, including: Create-a-Class Evolved. Secondary Weapons - Machine Pistols, Shotguns, Handguns, Launchers. Riot Shields. Equipment - Throwing Knives, Blast Shield, Tactical Insertion. Perk Upgrades. Bling (Dual Attachments). Customizable Killstreaks - AC130, Sentry Gun, Predator Missile, Counter-UAV, Care Package. Accolades (Post match reports). [Activision]","PC","Activision","Infinity Ward","M","2009-11-10","http://www.metacritic.com/game/pc/call-of-duty-modern-warfare-2"
"Call of Duty: Modern Warfare 3","78","Action","http://static.metacritic.com/images/products/games/4/7265601a82a0c30ed861f51ed0988198-98.jpg","2.5","Call of Duty: Modern Warfare 3 is a direct sequel to the previous game in the series, Call of Duty: Modern Warfare 2, with a campaign storyline continuing the struggle of U.S. forces against an invasion by the Russian Federation following the framing of an undercover U.S. agent in a terrorist attack on Moscow. Together with classic Call of Duty multi-character control, Modern Warfare 3 contains deep multiplayer support, including two-player Co-op Survival mode. The game also contains all-new Kill Streak categories and customizable strike packages that offer more options for player combat styles and strategies.","PC","Activision","Infinity Ward, Sledgehammer Games","M","2011-11-08","http://www.metacritic.com/game/pc/call-of-duty-modern-warfare-3"
"Call of Duty: World at War","83","Action","http://static.metacritic.com/images/products/games/1/931763d9e2c6c62423a9d789f3d86710-98.jpg","7.4","Utilizing the Call of Duty 4: Modern Warfare engine, Call of Duty: World at War throws out the rulebook of war to transform WWII combat through a new enemy, new tactics and an uncensored experience of the climatic battles that gripped a generation. As U.S. Marines and Russian soldiers, players employ new features like cooperative gameplay, and weapons such as the flamethrower in the most chaotic and cinematically intense experience to date. Call of Duty: World at War introduces co-operative play, bringing fresh meaning to the ""No One Fights Alone"" mantra with up to four-players online for Xbox 360, PS3 and PC, or two-player local split-screen on consoles. Nintendo Wii will also support a unique co-op mode for two players. For the first time ever players can experience harrowing single-player missions together for greater camaraderie and tactical execution. The co-op campaign allows players to rank up and unlock perks in competitive multiplayer by completing challenges and earning experience points, adding continuous re-playability and team-based gameplay. Whether playing competitively or cooperatively – if players are online with Call of Duty: World at War – they always gain experience points. Based on a player’s experience rank and rank of the player's friends, Call of Duty: World at War scales dynamically to provide a deeper level of challenge. [Activision]","PC","Activision Blizzard","Treyarch","M","2008-11-10","http://www.metacritic.com/game/pc/call-of-duty-world-at-war"
"Card Hunter","80","Strategy","http://static.metacritic.com/images/products/games/0/8c72591d05d3f4d30b756b1995e88f37-98.jpg","7.9","Card Hunter is is an innovative new take on strategy gaming that lets its developers flex their turn-based gaming muscles in a way that they never could have as part of a bigger outfit.","PC","Blue Manchu","Blue Manchu","","2015-07-13","http://www.metacritic.com/game/pc/card-hunter"
"Caster",NA,"Action","http://static.metacritic.com/images/products/games/7/9ffb09d6e788bc5735c913cd894f9085-98.jpg","3.8","Dash across Scenic Locations destroying bug like creatures called the Flanx using 6 Unique Attacks that include Massive Terrain Deformation and High Speed Barrages of Energy Blasts! Caster is an intense 3rd person action shooter experience with pulse pounding music that will keep you wanting more! [Steam]","PC","Elecorn","Elecorn","","2009-01-07","http://www.metacritic.com/game/pc/caster"
"Castle Crashers",NA,"Action","http://static.metacritic.com/images/products/games/5/53a845fefbf5ac5bfc0dc179d21ded70-98.jpg","7.8","Hack, slash, and smash your way to victory in this award winning 2D arcade adventure from The Behemoth! Featuring hand-drawn characters, Castle Crashers Steam Edition delivers hi-res visuals like nothing you've seen before. Four friends can play locally or online to save your princess, defend your kingdom, and crash some castles!","PC","The Behemoth","The Behemoth","T","2012-09-26","http://www.metacritic.com/game/pc/castle-crashers"
"Chip",NA,"Miscellaneous","http://static.metacritic.com/images/products/games/6/eeccd369a87dc54dd2699eb3b6692b33-98.jpg",NA,"Chip is an isometric puzzle game with robots, electricity and fancy dress! The player must help recharge Chip - a plucky little red robot - who has been imprisoned by the nefarious villain, Rust.","PC","KISS Ltd.","Coatsink Software","","2014-04-25","http://www.metacritic.com/game/pc/chip"
"Chivalry: Medieval Warfare","79","Action","http://static.metacritic.com/images/products/games/9/b32fec21e67c4902557cd15508d938bc-98.jpg","7.8","CHIVALRY: Medieval Warfare is a first-person medieval combat game that seeks to deliver the intensity of epic hollywood medieval block busters to the hands of a gamer. CHIVALRY hurls the player into a fictional yet realistic medieval world where the Agathian Knights are battling against the newly formed Mason Order for control of the lands of Agatha.","PC","Torn Banner Studios","Torn Banner Studios","","2012-10-16","http://www.metacritic.com/game/pc/chivalry-medieval-warfare"
"Cities: Skylines","86","City Building","http://static.metacritic.com/images/products/games/6/d4838e0c673841f71a7c7486aeb81a64-98.jpg","8.9","Developed by Colossal Order, Cities: Skylines offers sprawling landscapes and maps with endless sandbox gameplay and new ways to expand your city. Key to progression is the ability to influence your city’s policy by incorporating taxation into districts. All this plus the ability to mod the game to suit your play style.","PC","Paradox Interactive","Colossal Order","E","2015-03-10","http://www.metacritic.com/game/pc/cities-skylines"
"Clicker Heroes",NA,"Role-Playing","http://static.metacritic.com/images/products/games/3/8e650c509dae5949e1c6e44fa75cb849-98.jpg","6.5","Click on the monster to kill them, and get their gold.","PC","Playsaurus","Playsaurus","","2015-05-13","http://www.metacritic.com/game/pc/clicker-heroes"
"Company of Heroes","93","Strategy","http://static.metacritic.com/images/products/games/4/8d178665cd9b57f9965453cc1a8fedc7-98.jpg","8.9","A real-time strategy game set in World War II, Company of Heroes brings to life, in full cinematic detail, the greatest war mankind has ever known. Company of Heroes is built on Relic's next-generation Essence Engine and also utilizes the Havok Physics engine, delivering cinematic visual detail in a world completely driven by realistic physics. Gamers will experience the journey of the brave men of Able Company in a deep single-player campaign that begins with the invasion of Normandy through their fight across Europe, all set against the most dynamic battlefield ever seen in a game. Company of Heroes' completely destructable environment means no two battles ever play out in the same way. Advanced squad AI delivers startling new realism and responsiveness, bringing soldiers to life as they interact with the environment and execute advanced squad tactics to eliminate the opposition forces. [THQ]","PC","THQ","Relic","M","2006-09-13","http://www.metacritic.com/game/pc/company-of-heroes"
"Company of Heroes 2","80","Strategy","http://static.metacritic.com/images/products/games/1/cbe1a52ddf20896700668649c42e3dad-98.jpg","2","It is 1941 and the beginning of what will become the most brutal conflict of World War II, as Germany launches a full-scale invasion of the frozen tundra of the Soviet Union which would result in over 14 million military casualties. Take command of the iconic Soviet Red Army in brutal frontline warfare to free Mother Russia from the invading Nazis. Your strategic skills and tactical expertise hold the power to tip the very balance of this conflict in the sequel to the critically acclaimed and multi award-winning Company of Heroes. Engage in visceral tactical combat that will define you as a military leader and challenge you to wield the might of the Soviet Empire as you smash your way to Berlin.","PC","Sega","Relic","M","2013-06-25","http://www.metacritic.com/game/pc/company-of-heroes-2"
"Cook, Serve, Delicious!",NA,"Strategy","http://static.metacritic.com/images/products/games/3/40bad576406fc110227fb78234415555-98.jpg","7.9","Cook, Serve, Delicious! is a hardcore restaurant sim, one of the few in its genre that gives players total control over where they want to take their restaurant's future. You'll start with a few thousand dollars and 20 foods to choose from for your menu, as well as a host of restaurant equipment and a virtual email account that connects you to the people of SherriSoda Tower. Nearly everything is unlocked from the start of the game for you to purchase; this is your restaurant, and you must figure out the best strategy to get your business packed with satisfied customers. Can you prove your culinary skills?","PC","Vertigo Games","Vertigo Games","","2013-10-08","http://www.metacritic.com/game/pc/cook-serve-delicious!"
